alias,field,Agriculture,Architecture,BnBS,Business,CnJ,CS,CAnPS,Education,Engineering,Legal,LAnH,MnRT,MnHP,PS,Psychology,TnD,VnPA
Agriculture,Agriculture,Agricultural Business Manager,Architectural Planner,Bio-technologies Professional,Accounting Administrative Assistant,2d Design Professional,ASP Developer,Aesthetician,Adult Computer Literacy Teacher,AC Engineer,Arson Investigator,Activities Assistant,AC Technician,Acupuncture Technician,Acoustic Engineer,ABA Therapist,Aeronautical Scientist,3-D Art Technician
Architecture,Architecture,Agricultural Equipment Salesperson,Commercial Landscaping Designer,Bioinformatics Technician,Accounting Analyst,Advertising Manager,ASP Programmer,Bar Manager,Adult Literacy Teacher,Automotive Engineer,Bankruptcy Lawyer,Baby Care Professional,Aeronautic Technician,Acute Care Nurse Practitioner,Astronomer,Behavior Scientist,Aircraft Traffic Controller,3D Artists
BnBS,Biological and Biomedical Sciences,Agricultural Grader,Landscape Artist,Biological Health Professional,Accounting Clerk,Associate Editor,Action Script Programmer,Cafeteria Attendant,Adult Reading Instructor,Bio-Engineers,Casino Security Officer,Case Manager,Aircraft Repair Technician,Administrative Medical Assistant,Be an Energy Auditor,Behavior Studies Professor,Aviation Inspector,Abstract Artist
Business,Business,Agricultural Inspector,Landscaping Architect,Biological Treatment Technician,Accounts Manager,Audio Engineer,Adobe Photoshop Illustrator,Cafeteria Chef,Architecture Teacher,Biomedical Engineer,Court Recorder,Clergy Professions,Airplane Technician,Alcohol Therapists,Chemical Technician,Behavior Therapist,Aviation Technologist,Advertisement Artist
CnJ,Communication and Journalism,Agricultural Manager,Regional Planner,Biomedical Tech,Acquisition Management Career,Book Publisher,CSS Programmer,Cafeteria Worker,Art Teacher,Building Designer,Court Transcriptionist,Custom Tailor,Auto Body Mechanic,Aromatherapist,Chromatographer,Behavioral Health Nurse,Bulldozer Operator,American Artists
CS,Computer Sciences,Animal Breeder,Residential Designer,Biomedical Technician,Actuarial Analyst,Broadcasting Journalist,Computer Artists,Cake Maker,Biology Teacher,Car Designer,Divorce Lawyer,Foreign Policy Professional,BMW Motorcycle Mechanic,Audiology Technologist,Conservationist,Behavioral Medicine,Bulldozer Technician,Boot Designer
CAnPS,Culinary Arts and Personal Services,Animal Control Officer,Residential Landscaping Artist,Biophysics Careers,Auditing Clerk,Broadcasting Technician,Computer Game Designer,Caterer,Campus Manager,Certified Quality Process Analyst,Evidence Technician,GIS Analyst,BMW Specialist,Blood Bank Technician,Environmentalist,Child Psychiatrist,Commercial Airline Pilot,Caricaturist
Education,Education,Animal Husbandry Professional,Urban Designer,Biostatistician,Automotive Sales Manager,Camera Operator,Data Analyst,Dermatologist,Celtic Language Teacher,Civil Engineer,Federal Corrections Worker,GIS Technician,Boat Maintenance Technician,Cardiac Echo Technician,Fish & Game Warden,Clinical Psychologist,Excavation Equipment Operator,Christian Art
Engineering,Engineering,Dairy Scientist,Urban Planner,Cardiovascular Scientist,Bank Compliance Officer,Camera Repair Technician,Data Communications Technician,Dermatology Technician,Clinical Education Nurse,Computer Systems Engineer,Foreclosure Lawyer,Hearing Officer,Cabinet Maker,Cardio Technician,Fish Hatchery Manager,Pediatric Therapist,Flight Attendant,Cinema Production
Legal,Legal,Equine Scientist,,Ecologist,Bank Examiner,Cameraman,Database Programmer,Embalmer,Distance Learning Instructor,Design Engineer,Forest Fire Studies Professional,How to Become a Fashion Consultant,Car Maintenance Technician,Cardiopulmonary Therapist,Gas Chromatographer,Psychologist,Forklift Operator,Commercial Artist
LAnH,Liberal Arts and Humanities,Farm Equipment Mechanic,,Embryologist,Bank Financial Analyst,Caption Writer,Digital Artist,Esthetician,Drama Teacher,Electrical Engineers,Health Care Lawyer,Intercultural Studies Professional,Chassis Fabrication Technician,Cardiopulmonary Technician,Geoscientist,School Social Worker,Freight Mover,Design Artists
MnRT,Machanic and Repair Technologies,Farm Manager,,Epidemiologist,Bank Underwriter,Cartoon Animators,Game Designer,Executive Chef,E-Teachers,Environmental Engineer,Immigration Lawyer,Political Scientist,Commercial Vehicle Technician,Cardiovascular Ultrasound Technologist,Hydrologist,Sports Psychology Career,Heavy Machinery Operator,Digital Photographer
MnHP,Medical and Health Professions,Floral Designer Career,,Ethologist,Banking Manager,Children's Literature Writer,Game Technician,Food Preparation Professional,Economics Teachers,Furnace Operator,Legal Administrative Professional,Public Service Professions,Drilling Machine Technician,Clinical Manager,Meteorologist,,Hoist Operator,Dog Art
PS,Physical Sciences,Gardener,,Oncologist,Banking and Finance Careers,Digital Editing Professional,HTML Developer,French Pastry Chef,Educational Planner,Geological Data Technician,Legal File Clerk,Social Worker,Elevator Technician,Complementary Health Practitioner,Natural Resource Manager,,Locomotive Firer,Exhibit Designer
Psychology,Psychology,Greenhouse Manager,,Pathology Scientist,Car Salesperson,Education Writer,HTML Programmer,Funeral Director,English Grammar Teacher,HVAC Design Engineer,Loss Prevention Surveillance Officer,Teenager Development Counselor,Ford Mechanic,Cosmetic Dentists,Ocean Environmental Management Career,,MTA Dispatcher,Fashion Photographer
TnD,Transportation and Distribution,Groundskeeper,,Pharmacologist,Cargo Handlers,Film or Television Director,HVAC Systems Technician,Hair Dressers,Financial Aid Counselor,Industrial Engineers,Mediator,Victim Advocate,Nissan Auto Technicians,Clinical Laboratory Manager,Physical Scientist,,Pile-Driver Operator,Formal Dress Designer
VnPA,Visual and Performing Arts,Holistic Care for Companion Animals,,Urban Ecologist,Casino Cashier,Language Interpreter,IT Analyst,Hair Stylist,French Teacher,Java Engineer,Policeman,Youth Development Administrator,Power Tool Repair Professional,Chiropractic Assistant,Sound Engineer,,Professional Courier,Graphics Coordinator
,,Horticulture Supervisor,,Vascular Scientist,Casino Dealer,Music Producer,IT Coordinator,Make Up Artists,Gaelic Language Teacher,Nuclear Engineer,State Corrections Worker,Youth Minister,Satellite Technician,Diagnostic Imaging Technician,Wildland Studies Professional,,Rail Yard Engineer,Interior Decorator